statistic_yyy,ranking,lastname,age,population
112,1,陳,0~14歲,316689
112,1,陳,15~64歲,1822159
112,1,陳,65歲以上,480146
112,2,林,0~14歲,239450
112,2,林,15~64歲,1355816
112,2,林,65歲以上,352254
112,3,黃,0~14歲,171524
112,3,黃,15~64歲,989787
112,3,黃,65歲以上,241497
112,4,張,0~14歲,147602
112,4,張,15~64歲,861557
112,4,張,65歲以上,230721
112,5,李,0~14歲,142380
112,5,李,15~64歲,839118
112,5,李,65歲以上,218422
112,6,王,0~14歲,113486
112,6,王,15~64歲,672086
112,6,王,65歲以上,169463
112,7,吳,0~14歲,114241
112,7,吳,15~64歲,661852
112,7,吳,65歲以上,159591
112,8,劉,0~14歲,86135
112,8,劉,15~64歲,515654
112,8,劉,65歲以上,135818
112,9,蔡,0~14歲,82747
112,9,蔡,15~64歲,477331
112,9,蔡,65歲以上,124453
112,10,楊,0~14歲,74065
112,10,楊,15~64歲,433514
112,10,楊,65歲以上,110220
112,11,許,0~14歲,67327
112,11,許,15~64歲,381167
112,11,許,65歲以上,92435
112,12,鄭,0~14歲,52302
112,12,鄭,15~64歲,307086
112,12,鄭,65歲以上,81379
112,13,謝,0~14歲,49700
112,13,謝,15~64歲,287028
112,13,謝,65歲以上,75929
112,14,洪,0~14歲,43706
112,14,洪,15~64歲,245753
112,14,洪,65歲以上,63483
112,15,郭,0~14歲,41296
112,15,郭,15~64歲,243265
112,15,郭,65歲以上,65511
112,16,邱,0~14歲,41508
112,16,邱,15~64歲,238935
112,16,邱,65歲以上,63026
112,17,曾,0~14歲,41153
112,17,曾,15~64歲,235348
112,17,曾,65歲以上,62278
112,18,廖,0~14歲,38521
112,18,廖,15~64歲,219086
112,18,廖,65歲以上,58212
112,19,賴,0~14歲,38021
112,19,賴,15~64歲,215505
112,19,賴,65歲以上,56527
112,20,徐,0~14歲,35259
112,20,徐,15~64歲,204800
112,20,徐,65歲以上,54664
112,21,周,0~14歲,32612
112,21,周,15~64歲,197747
112,21,周,65歲以上,51826
112,22,葉,0~14歲,33219
112,22,葉,15~64歲,192251
112,22,葉,65歲以上,50906
112,23,蘇,0~14歲,32083
112,23,蘇,15~64歲,184095
112,23,蘇,65歲以上,49463
112,24,莊,0~14歲,27095
112,24,莊,15~64歲,153788
112,24,莊,65歲以上,41355
112,25,江,0~14歲,26504
112,25,江,15~64歲,149073
112,25,江,65歲以上,38591
112,26,呂,0~14歲,25990
112,26,呂,15~64歲,149711
112,26,呂,65歲以上,37134
112,27,何,0~14歲,24065
112,27,何,15~64歲,139175
112,27,何,65歲以上,35515
112,28,蕭,0~14歲,23096
112,28,蕭,15~64歲,136154
112,28,蕭,65歲以上,34751
112,29,羅,0~14歲,23434
112,29,羅,15~64歲,136180
112,29,羅,65歲以上,34255
112,30,高,0~14歲,22141
112,30,高,15~64歲,125924
112,30,高,65歲以上,31592
112,31,潘,0~14歲,19114
112,31,潘,15~64歲,115196
112,31,潘,65歲以上,27732
112,32,簡,0~14歲,19128
112,32,簡,15~64歲,110371
112,32,簡,65歲以上,29352
112,33,朱,0~14歲,18132
112,33,朱,15~64歲,108480
112,33,朱,65歲以上,27445
112,34,鍾,0~14歲,17915
112,34,鍾,15~64歲,106487
112,34,鍾,65歲以上,28148
112,35,游,0~14歲,17165
112,35,游,15~64歲,97294
112,35,游,65歲以上,24614
112,36,彭,0~14歲,16576
112,36,彭,15~64歲,97291
112,36,彭,65歲以上,24252
112,37,詹,0~14歲,16709
112,37,詹,15~64歲,94242
112,37,詹,65歲以上,25281
112,38,施,0~14歲,15392
112,38,施,15~64歲,88499
112,38,施,65歲以上,23421
112,39,胡,0~14歲,14967
112,39,胡,15~64歲,90167
112,39,胡,65歲以上,21515
112,40,沈,0~14歲,14277
112,40,沈,15~64歲,83829
112,40,沈,65歲以上,22258
112,41,余,0~14歲,14539
112,41,余,15~64歲,83530
112,41,余,65歲以上,20886
112,42,盧,0~14歲,13297
112,42,盧,15~64歲,77570
112,42,盧,65歲以上,20318
112,43,梁,0~14歲,12865
112,43,梁,15~64歲,75363
112,43,梁,65歲以上,18870
112,44,趙,0~14歲,11925
112,44,趙,15~64歲,73750
112,44,趙,65歲以上,18135
112,45,顏,0~14歲,12895
112,45,顏,15~64歲,72025
112,45,顏,65歲以上,18647
112,46,柯,0~14歲,12705
112,46,柯,15~64歲,71182
112,46,柯,65歲以上,18393
112,47,翁,0~14歲,11081
112,47,翁,15~64歲,64462
112,47,翁,65歲以上,17701
112,48,魏,0~14歲,10713
112,48,魏,15~64歲,62145
112,48,魏,65歲以上,16750
112,49,孫,0~14歲,9511
112,49,孫,15~64歲,59553
112,49,孫,65歲以上,14696
112,50,戴,0~14歲,9713
112,50,戴,15~64歲,57692
112,50,戴,65歲以上,14719
112,51,范,0~14歲,9410
112,51,范,15~64歲,56273
112,51,范,65歲以上,13507
112,52,方,0~14歲,9036
112,52,方,15~64歲,53978
112,52,方,65歲以上,13743
112,53,宋,0~14歲,8778
112,53,宋,15~64歲,53243
112,53,宋,65歲以上,13297
112,54,鄧,0~14歲,7222
112,54,鄧,15~64歲,45455
112,54,鄧,65歲以上,10867
112,55,杜,0~14歲,6400
112,55,杜,15~64歲,38288
112,55,杜,65歲以上,9475
112,56,侯,0~14歲,6317
112,56,侯,15~64歲,36966
112,56,侯,65歲以上,9629
112,57,傅,0~14歲,6072
112,57,傅,15~64歲,36793
112,57,傅,65歲以上,9697
112,58,曹,0~14歲,5918
112,58,曹,15~64歲,36673
112,58,曹,65歲以上,8812
112,59,薛,0~14歲,5990
112,59,薛,15~64歲,34949
112,59,薛,65歲以上,9307
112,60,阮,0~14歲,4528
112,60,阮,15~64歲,40940
112,60,阮,65歲以上,3821
112,61,丁,0~14歲,5743
112,61,丁,15~64歲,35069
112,61,丁,65歲以上,7683
112,62,卓,0~14歲,5609
112,62,卓,15~64歲,31656
112,62,卓,65歲以上,7671
112,63,馬,0~14歲,4976
112,63,馬,15~64歲,30543
112,63,馬,65歲以上,7191
112,64,温,0~14歲,5182
112,64,温,15~64歲,29656
112,64,温,65歲以上,7333
112,65,董,0~14歲,4836
112,65,董,15~64歲,29472
112,65,董,65歲以上,7229
112,66,藍,0~14歲,4997
112,66,藍,15~64歲,29012
112,66,藍,65歲以上,7498
112,67,古,0~14歲,5160
112,67,古,15~64歲,28968
112,67,古,65歲以上,7222
112,68,石,0~14歲,4899
112,68,石,15~64歲,28948
112,68,石,65歲以上,7096
112,69,紀,0~14歲,5218
112,69,紀,15~64歲,28427
112,69,紀,65歲以上,7102
112,70,唐,0~14歲,4328
112,70,唐,15~64歲,29505
112,70,唐,65歲以上,6746
112,71,蔣,0~14歲,4660
112,71,蔣,15~64歲,28681
112,71,蔣,65歲以上,7046
112,72,姚,0~14歲,4747
112,72,姚,15~64歲,28146
112,72,姚,65歲以上,7060
112,73,連,0~14歲,4654
112,73,連,15~64歲,27688
112,73,連,65歲以上,7431
112,74,歐,0~14歲,4529
112,74,歐,15~64歲,26303
112,74,歐,65歲以上,7006
112,75,馮,0~14歲,4358
112,75,馮,15~64歲,26723
112,75,馮,65歲以上,6729
112,76,程,0~14歲,4319
112,76,程,15~64歲,25690
112,76,程,65歲以上,6439
112,77,湯,0~14歲,4255
112,77,湯,15~64歲,25374
112,77,湯,65歲以上,6278
112,78,田,0~14歲,4809
112,78,田,15~64歲,25352
112,78,田,65歲以上,5399
112,79,康,0~14歲,4349
112,79,康,15~64歲,24688
112,79,康,65歲以上,6462
112,80,黄,0~14歲,3772
112,80,黄,15~64歲,23966
112,80,黄,65歲以上,6793
112,81,姜,0~14歲,3960
112,81,姜,15~64歲,24125
112,81,姜,65歲以上,5998
112,82,白,0~14歲,4148
112,82,白,15~64歲,23100
112,82,白,65歲以上,5894
112,83,汪,0~14歲,3593
112,83,汪,15~64歲,22978
112,83,汪,65歲以上,5881
112,84,尤,0~14歲,3941
112,84,尤,15~64歲,22620
112,84,尤,65歲以上,5475
112,85,鄒,0~14歲,3715
112,85,鄒,15~64歲,22594
112,85,鄒,65歲以上,5504
112,86,黎,0~14歲,3035
112,86,黎,15~64歲,22940
112,86,黎,65歲以上,3557
112,87,巫,0~14歲,3756
112,87,巫,15~64歲,20209
112,87,巫,65歲以上,5152
112,88,鐘,0~14歲,3532
112,88,鐘,15~64歲,19950
112,88,鐘,65歲以上,5277
112,89,涂,0~14歲,3278
112,89,涂,15~64歲,19175
112,89,涂,65歲以上,4845
112,90,龔,0~14歲,2852
112,90,龔,15~64歲,17533
112,90,龔,65歲以上,4500
112,91,嚴,0~14歲,2519
112,91,嚴,15~64歲,15451
112,91,嚴,65歲以上,4114
112,92,韓,0~14歲,2329
112,92,韓,15~64歲,15264
112,92,韓,65歲以上,3597
112,93,袁,0~14歲,2269
112,93,袁,15~64歲,15275
112,93,袁,65歲以上,3363
112,94,金,0~14歲,2626
112,94,金,15~64歲,13618
112,94,金,65歲以上,3125
112,95,童,0~14歲,2343
112,95,童,15~64歲,13648
112,95,童,65歲以上,3354
112,96,陸,0~14歲,1813
112,96,陸,15~64歲,12292
112,96,陸,65歲以上,2977
112,97,柳,0~14歲,2067
112,97,柳,15~64歲,11882
112,97,柳,65歲以上,2720
112,98,凃,0~14歲,1959
112,98,凃,15~64歲,11380
112,98,凃,65歲以上,3035
112,99,夏,0~14歲,1726
112,99,夏,15~64歲,11941
112,99,夏,65歲以上,2582
112,100,邵,0~14歲,1742
112,100,邵,15~64歲,10996
112,100,邵,65歲以上,2591
112,101,錢,0~14歲,1773
112,101,錢,15~64歲,10251
112,101,錢,65歲以上,2684
112,102,伍,0~14歲,1802
112,102,伍,15~64歲,10351
112,102,伍,65歲以上,2287
112,103,倪,0~14歲,1651
112,103,倪,15~64歲,9856
112,103,倪,65歲以上,2500
112,104,溫,0~14歲,1742
112,104,溫,15~64歲,9537
112,104,溫,65歲以上,2677
112,105,駱,0~14歲,1424
112,105,駱,15~64歲,8814
112,105,駱,65歲以上,2244
112,106,譚,0~14歲,1242
112,106,譚,15~64歲,9173
112,106,譚,65歲以上,1931
112,107,于,0~14歲,1203
112,107,于,15~64歲,9017
112,107,于,65歲以上,1859
112,108,甘,0~14歲,1378
112,108,甘,15~64歲,8361
112,108,甘,65歲以上,2047
112,109,熊,0~14歲,1204
112,109,熊,15~64歲,8460
112,109,熊,65歲以上,1926
112,110,任,0~14歲,1250
112,110,任,15~64歲,8310
112,110,任,65歲以上,1873
112,111,秦,0~14歲,1323
112,111,秦,15~64歲,8255
112,111,秦,65歲以上,1787
112,112,章,0~14歲,1251
112,112,章,15~64歲,7869
112,112,章,65歲以上,2002
112,113,毛,0~14歲,1180
112,113,毛,15~64歲,8041
112,113,毛,65歲以上,1895
112,114,官,0~14歲,1288
112,114,官,15~64歲,7808
112,114,官,65歲以上,2002
112,115,顧,0~14歲,1139
112,115,顧,15~64歲,7885
112,115,顧,65歲以上,2072
112,116,史,0~14歲,1264
112,116,史,15~64歲,7744
112,116,史,65歲以上,1856
112,117,萬,0~14歲,1172
112,117,萬,15~64歲,7885
112,117,萬,65歲以上,1729
112,118,俞,0~14歲,1123
112,118,俞,15~64歲,7694
112,118,俞,65歲以上,1844
112,119,粘,0~14歲,1408
112,119,粘,15~64歲,7016
112,119,粘,65歲以上,1603
112,120,雷,0~14歲,1174
112,120,雷,15~64歲,7232
112,120,雷,65歲以上,1577
